"var","Estimate","Est.Error","Q5","Q10","Q20","Q80","Q90","Q95","lh"
"Intercept",-2.50451333444937,0.331291490037755,-3.06051788584425,-2.92312719387377,-2.76436985447316,-2.24097274953833,-2.09776436113031,-1.96788619915764,"acropora"
"past.maxDHW",-0.0726903627460481,0.102467269818245,-0.242456927109086,-0.205590511465647,-0.159413998892896,0.0145495139304808,0.0594095350599841,0.0949030192564831,"acropora"
"years.sinceDHW",0.093340188844022,0.102763975422751,-0.0756706605251926,-0.0369109397443633,0.0076508237190552,0.179826954645104,0.226573184890428,0.263694239339643,"acropora"
"Grav_NearPop.max",-0.0663587495489758,0.083020849024219,-0.202649358472169,-0.173158423049451,-0.137047392574456,0.00392176208086824,0.039072818986425,0.0686471764227977,"acropora"
"Grav_Markets.max",-0.135466342276527,0.110714446697798,-0.318786230661465,-0.276270019775307,-0.226181733904939,-0.0430669594815153,0.00620986527248748,0.0465736057070219,"acropora"
"perc_crop2012",-0.0802207622468878,0.0874642054595803,-0.22526140436345,-0.192191675670734,-0.152877907329721,-0.00634963321187701,0.0311784444571132,0.0630949990986145,"acropora"
"perc_crop2002.2012",-0.148945946979382,0.0772147160182092,-0.2750382843376,-0.246890788300163,-0.213871082200424,-0.0837348045939414,-0.0503080669906741,-0.0226747839168731,"acropora"
"hdi2015",0.179446159474761,0.349254643127812,-0.393028063395101,-0.255973833276751,-0.105290460820019,0.467848022172274,0.622383625092564,0.752178558356799,"acropora"
"ManagementNoMtake",0.038177545533837,0.0994823841094877,-0.126235004711855,-0.0897947412770984,-0.0456126083506928,0.121709158205628,0.164002141021074,0.199527238410028,"acropora"
"ManagementRestricted",-0.159340483793227,0.077797703466301,-0.287568177701113,-0.259520477394888,-0.224850804880089,-0.0941378434953302,-0.0595951639770846,-0.0315146947424742,"acropora"
"HabitatCrest",0.107041104570123,0.109229736453737,-0.0735739096464127,-0.0321849140197918,0.0153149078408332,0.199757117163573,0.248052395051278,0.286048663314292,"acropora"
"HabitatFlat",-0.171687184353669,0.0755181122464171,-0.294339375992271,-0.269428828975487,-0.236298180983465,-0.107678044607144,-0.0750925907210987,-0.0473285011746004,"acropora"
"Depth_m",-0.394894042323008,0.070688638309603,-0.510813356979127,-0.486286847717869,-0.454631090206436,-0.335735247172255,-0.30433908796791,-0.279434172091343,"acropora"
"npp_mean",-0.230106603636624,0.138236173425114,-0.456900309243753,-0.40662574532217,-0.34680799071989,-0.113505270230142,-0.0535179585604344,-0.00442659479813486,"acropora"
"wave_mean",0.30172495724947,0.0965865738551335,0.143685710476597,0.178075900212601,0.220091005830266,0.383398906282448,0.42528374106626,0.460419586622161,"acropora"
"maxTCdays.mean",-0.0181774554271573,0.163197529782218,-0.28909653889602,-0.228741855977716,-0.156505100970161,0.118674372059635,0.191066279156453,0.250714335050946,"acropora"
"reef_area_100km",0.306142517696376,0.111971813948446,0.123041820312227,0.162438075664416,0.211574124136206,0.400242269581784,0.448259470575993,0.492231739768734,"acropora"
"Latitude",0.074082836892085,0.240605260118286,-0.31735642634584,-0.23335191547908,-0.129684893539376,0.276303700682283,0.383015674389131,0.472216315707177,"acropora"
"MethodLIT",-1.02526414157688,0.196138278733382,-1.3488122990945,-1.27816773481923,-1.19099314654948,-0.858951920729949,-0.774983617785936,-0.705662688860421,"acropora"
"MethodPhoto",-0.899419141647382,0.152094318684436,-1.14427596537025,-1.09397548283471,-1.0271283951262,-0.771473116310494,-0.704038032823952,-0.648444825091841,"acropora"
"n_points",0.986825892171693,0.140984816251187,0.75386474870408,0.805134141886292,0.866191796309903,1.1051966928537,1.16595117268087,1.21677370515636,"acropora"
