"var","Estimate","Est.Error","Q5","Q10","Q20","Q80","Q90","Q95","lh"
"Intercept",-2.2170740288583,0.20489968452699,-2.55019060635413,-2.47516604544252,-2.38089581757131,-2.05018116693842,-1.96049817998982,-1.88502988657189,"competitive"
"past.maxDHW",-0.135670733120802,0.0903403552031446,-0.281417360331974,-0.250488664699534,-0.210501519073417,-0.0590351654117583,-0.0186794165153563,0.0119367062989997,"competitive"
"years.sinceDHW",0.169238874844072,0.0826391568328449,0.0346844449368884,0.0651417888495616,0.0990861822873841,0.239143632548558,0.275601880624028,0.302780200796592,"competitive"
"Grav_NearPop.max",-0.0761086167766223,0.072425184971692,-0.195528420034262,-0.170736848795315,-0.136579907672134,-0.0168636479275675,0.0162345642606259,0.0396272427300225,"competitive"
"Grav_Markets.max",-0.118758430990295,0.0950266256550205,-0.27362305223216,-0.239789442742086,-0.19839734269659,-0.0389483206651426,0.00246434469271213,0.0367091979297886,"competitive"
"perc_crop2012",0.0431747851423923,0.0831636187232609,-0.0945049013005893,-0.0655395576309337,-0.026128532031024,0.113468582985137,0.146915462326911,0.176005615463372,"competitive"
"perc_crop2002.2012",-0.0651879801646195,0.0761312391540519,-0.190080502265459,-0.160991823869613,-0.126907807233381,-0.00237880493991162,0.0327996545122281,0.0626701169180856,"competitive"
"hdi2015",0.201212693922155,0.244986108466116,-0.196927816885162,-0.112907389689384,2.08834503775639e-05,0.404760748216673,0.51131885710794,0.618703314532727,"competitive"
"ManagementNoMtake",0.0898162520177451,0.082876686613817,-0.0464116360275123,-0.0170831068708176,0.0197490017820129,0.15986676506035,0.19553565483769,0.224104962675132,"competitive"
"ManagementRestricted",-0.00772171754308879,0.0713847087135038,-0.123537833909032,-0.100177739569227,-0.0676749164328451,0.0523067630292944,0.0835972484285418,0.108418705631677,"competitive"
"HabitatCrest",0.125276379971908,0.0955937991285343,-0.0315043805179078,0.00250214375766636,0.0434118960101049,0.206569063879298,0.248010170776421,0.282789355351864,"competitive"
"HabitatFlat",-0.257200994840459,0.0648518226551294,-0.364752680718586,-0.341245864121206,-0.312831768034967,-0.201444458861899,-0.174820988418671,-0.152696943936061,"competitive"
"Depth_m",-0.386205447925975,0.0560673044054959,-0.478761843535883,-0.458647563061991,-0.433432573251721,-0.33868093199311,-0.314186448696386,-0.294339372719184,"competitive"
"npp_mean",-0.344992133271375,0.120053007412726,-0.545370434963231,-0.50027797390652,-0.444673363983194,-0.242093301153641,-0.188802250533221,-0.148414556571462,"competitive"
"wave_mean",0.218440694425311,0.0794330526650254,0.0860165328318018,0.116615458016353,0.150323640179418,0.287095909208053,0.319381307789254,0.346324137397549,"competitive"
"maxTCdays.mean",-0.216616149250625,0.134115921901546,-0.440849353263901,-0.391916674099397,-0.328980603261804,-0.103726951611432,-0.0454774730274631,0.00101497787596796,"competitive"
"reef_area_100km",-0.00939868528171937,0.0932755677144885,-0.163799614992084,-0.128125741063758,-0.0865923126013875,0.0691196664059518,0.107318338156934,0.142600672819175,"competitive"
"Latitude",-0.0236807008148515,0.194372745285216,-0.333463512257085,-0.270765900619748,-0.191004995906174,0.137687068004889,0.225304776901968,0.301535166580515,"competitive"
"MethodLIT",-0.562867004841889,0.159961469014703,-0.825089399175637,-0.767798726227086,-0.698431008417964,-0.43225000515383,-0.359673166389788,-0.30229236065681,"competitive"
"MethodPhoto",-0.555885158907965,0.137362392295173,-0.778034407141034,-0.733043435491861,-0.674145263826414,-0.443332339611609,-0.378645637151868,-0.330167862686156,"competitive"
"n_points",0.470511587897021,0.122470870769423,0.267437375983794,0.310929744672002,0.369782054775555,0.572041832631048,0.62549942550044,0.668392100465534,"competitive"
