"var","Estimate","Est.Error","Q5","Q10","Q20","Q80","Q90","Q95","lh"
"Intercept",-3.42943852761834,0.234506096215995,-3.81559089988448,-3.7177990225986,-3.61176372323397,-3.24375218195494,-3.14061058588073,-3.04926687400831,"montipora"
"past.maxDHW",-0.0893424635896693,0.0921794426694361,-0.241125995312854,-0.207129600525225,-0.166922677679508,-0.0106432004846352,0.0288710037597224,0.0613754788693402,"montipora"
"years.sinceDHW",0.161509812448504,0.0943251290770696,0.00786009205319144,0.0426784379951048,0.0825173054235236,0.240115393155889,0.284310998586692,0.319347506722165,"montipora"
"Grav_NearPop.max",-0.16628951741168,0.0764498705636454,-0.291682414245895,-0.26399715563717,-0.230400928994696,-0.10180656983181,-0.068917624013249,-0.0403924787862263,"montipora"
"Grav_Markets.max",-0.0591659744674621,0.0977784420595955,-0.22263766817453,-0.185173695389529,-0.140243458186084,0.0231313035299848,0.0652304350172952,0.100901649243555,"montipora"
"perc_crop2012",0.151411569427209,0.0774295748412593,0.0246709287326081,0.052711382450344,0.0866649002757971,0.216650004387013,0.250404142896273,0.278355234160832,"montipora"
"perc_crop2002.2012",-0.00543498549740285,0.0697908301485876,-0.121052206718768,-0.0940765394342068,-0.0639523834695403,0.053583813490263,0.0839469165739574,0.108415170059017,"montipora"
"hdi2015",0.0972105951184676,0.172448359691882,-0.174977156786845,-0.115343006559485,-0.0404005869688214,0.232592078265819,0.311168554234521,0.386587845204549,"montipora"
"ManagementNoMtake",-0.0244309301886609,0.0986722471642503,-0.184889374374068,-0.150335093716369,-0.108331827974795,0.0595889093814811,0.101710951966274,0.138081842387178,"montipora"
"ManagementRestricted",0.0302808249397266,0.0753045824460226,-0.0935243285762086,-0.0659371340169077,-0.0336664338306407,0.0934899683001145,0.127511011177528,0.155509540843571,"montipora"
"HabitatCrest",-0.122729724381785,0.111052492561927,-0.306912832479729,-0.265612246968916,-0.217226688794441,-0.029665795578775,0.0208115703850937,0.0624666962361892,"montipora"
"HabitatFlat",-0.147012510507859,0.0757316141295587,-0.272027771854069,-0.243229307519504,-0.210137869094711,-0.0823797379110351,-0.0496953434411889,-0.0226396960453393,"montipora"
"Depth_m",0.111889251990697,0.0689269849269024,-0.00146218529993427,0.0244715429490815,0.0539682533478285,0.169457599823134,0.200210955152024,0.226526065696908,"montipora"
"npp_mean",-0.449737167878562,0.123013269766928,-0.655634024478781,-0.608933393835758,-0.551031219540393,-0.348223949452806,-0.294283327373595,-0.248912779291475,"montipora"
"wave_mean",0.0927880207034567,0.0905349932656832,-0.0576495710335662,-0.0230504890719513,0.0164866681772699,0.167717707926264,0.207554477353886,0.242092831848343,"montipora"
"maxTCdays.mean",-0.0969137341042659,0.128903243135232,-0.309284808790869,-0.262676383826292,-0.204469075822803,0.0109038081934376,0.0680392239390903,0.115092050888348,"montipora"
"reef_area_100km",0.176335118906547,0.102720907416452,0.0060717016244012,0.044845288646706,0.0899297941929547,0.261836065237241,0.308462684411479,0.347497283059006,"montipora"
"Latitude",-0.0385228052345113,0.194157719163187,-0.35054210693667,-0.282710634700981,-0.200845498476107,0.121086831959144,0.217367144736942,0.289780958582494,"montipora"
"MethodLIT",0.177778555422323,0.172283416727963,-0.102324543600479,-0.0427506315174649,0.0310876131531337,0.323556530087738,0.39820488779905,0.463250371695153,"montipora"
"MethodPhoto",0.254110335366502,0.149882318513482,0.0063520143262594,0.063305184192015,0.128337234463371,0.380208776687586,0.446340769377591,0.501755007039467,"montipora"
"n_points",-0.00692270711978839,0.137436780772958,-0.234697881915085,-0.184019758787252,-0.12136239551047,0.108594933036786,0.168814073397384,0.220095054406344,"montipora"
