"var","Estimate","Est.Error","Q5","Q10","Q20","Q80","Q90","Q95","lh"
"Intercept",-3.54214850939016,0.218311211607693,-3.90354387480523,-3.82048803753147,-3.71733825592556,-3.36656588805275,-3.27337117632309,-3.19038096710543,"pocillopora"
"past.maxDHW",0.257637475044355,0.0863183213674847,0.115606735184795,0.148710125331868,0.18513598132489,0.330404561622013,0.366943295029408,0.399194149825659,"pocillopora"
"years.sinceDHW",0.359398039064032,0.0900607276861619,0.212262897524904,0.24431072702709,0.2831637629747,0.435115686409567,0.475042739830424,0.508966271477216,"pocillopora"
"Grav_NearPop.max",-0.0548695515376431,0.0703712157453279,-0.170536538453954,-0.145087475060653,-0.11459336701784,0.00458010558495506,0.036360772241504,0.0610259044185622,"pocillopora"
"Grav_Markets.max",0.142208173143557,0.0936189332727969,-0.0127433119973325,0.0229458113343995,0.063039041550116,0.221444821873399,0.260435089808509,0.294508952303864,"pocillopora"
"perc_crop2012",-0.0693638220174734,0.0773257790848048,-0.197394956866465,-0.167004027128883,-0.134007379400072,-0.00438869478666203,0.0287242093252936,0.0570469857656571,"pocillopora"
"perc_crop2002.2012",0.0380069808093565,0.0665266837627283,-0.0727142025034113,-0.0479879449530855,-0.0174980568756749,0.0938990442534763,0.122906528694386,0.14638996211778,"pocillopora"
"hdi2015",0.180825254248715,0.226633701786988,-0.199515757269202,-0.106230738443674,-0.00130809162783449,0.364107247607631,0.462251187204879,0.544981563042771,"pocillopora"
"ManagementNoMtake",0.00373785401418288,0.0900374059622887,-0.142361528570171,-0.111622860857652,-0.0730329109075803,0.0788711707113772,0.119024284740212,0.152546397933476,"pocillopora"
"ManagementRestricted",-0.043477149043682,0.0715067238190785,-0.161940665465173,-0.13534640358267,-0.103590276780592,0.0175645674054934,0.0476953276849754,0.0742436159179538,"pocillopora"
"HabitatCrest",0.061707317202012,0.103656659482014,-0.109756018402128,-0.072103482555028,-0.0261569013822681,0.150302798975846,0.194760577219469,0.230417496068578,"pocillopora"
"HabitatFlat",-0.497271226224986,0.0704179297854001,-0.613813979121268,-0.586886527898419,-0.555519685755267,-0.438084524401864,-0.407537006203747,-0.382890004231739,"pocillopora"
"Depth_m",-0.114496684827597,0.0673519955716401,-0.2258008393192,-0.201034271602066,-0.171404860444686,-0.0568834677711456,-0.027907781229835,-0.00394684859457452,"pocillopora"
"npp_mean",-0.55732994973297,0.117486053897995,-0.74998241380883,-0.706197272156663,-0.654482196167959,-0.459501289109885,-0.406031466038863,-0.365345230794528,"pocillopora"
"wave_mean",0.353382953826605,0.0821281292478452,0.218346224116582,0.247207806629608,0.284355353644181,0.422240210740702,0.458071302553546,0.487909948959197,"pocillopora"
"maxTCdays.mean",-0.313670275634138,0.129433149029053,-0.528332383534856,-0.481085281508109,-0.42231633584356,-0.204871661510932,-0.1481174651416,-0.101154699577459,"pocillopora"
"reef_area_100km",-0.509074897410259,0.0909221403018843,-0.657357458038197,-0.62579408987741,-0.586151625099048,-0.433159576175766,-0.392072502246402,-0.358775333707898,"pocillopora"
"Latitude",0.143994542537409,0.194030429811169,-0.172061623505388,-0.101183047600856,-0.0197353714338792,0.306786412930676,0.393177472796634,0.464116409219755,"pocillopora"
"MethodLIT",-0.789085552809285,0.171048691238591,-1.0747476900481,-1.00981223266388,-0.93293665419421,-0.643778271217885,-0.571017541641827,-0.50981322289703,"pocillopora"
"MethodPhoto",-0.607221854121629,0.140206786607403,-0.83837689985074,-0.787658365157625,-0.725145510403749,-0.489876468878271,-0.427869742073858,-0.375630394941475,"pocillopora"
"n_points",0.343693939741077,0.128765317691597,0.131199158719744,0.178598850921653,0.233478050318673,0.452987921550046,0.510227679865482,0.557752702717629,"pocillopora"
