"var","Estimate","Est.Error","Q5","Q10","Q20","Q80","Q90","Q95","lh"
"Intercept",-2.75261549943938,0.221427325662723,-3.11963451422242,-3.02948101784231,-2.9307470677003,-2.57522814744148,-2.47936603692576,-2.40006028870308,"porites"
"past.maxDHW",-0.0397175235440157,0.0881839930263557,-0.184648830257668,-0.151654105657478,-0.113979230078857,0.0339131544702838,0.0739698509628938,0.106297995396,"porites"
"years.sinceDHW",0.310194503136535,0.0899959892389772,0.164293692026878,0.194451217358056,0.234694259996929,0.385723828922148,0.425622908158749,0.458264672201633,"porites"
"Grav_NearPop.max",-0.0281930215387867,0.0703518502208537,-0.144158888093739,-0.117625501243301,-0.0861013990434224,0.0307728331595457,0.0618563543197779,0.0869109007684122,"porites"
"Grav_Markets.max",0.1251259252719,0.0940478382504609,-0.0288554233779589,0.00524438266594028,0.0466158060782828,0.203769934506615,0.245895187159918,0.280462865949757,"porites"
"perc_crop2012",0.0065131027556393,0.0759765641809339,-0.117476119365148,-0.0909398325356403,-0.0577978164670865,0.0703708445098578,0.103400146660728,0.131230514997787,"porites"
"perc_crop2002.2012",-0.0337610560170716,0.0688279055776918,-0.147615590668537,-0.122851707149507,-0.0914957966516835,0.0238915819245314,0.0545912534092922,0.0786763654023062,"porites"
"hdi2015",-0.43133728951563,0.267623799657233,-0.870101607924433,-0.771272173055472,-0.649505945685669,-0.20927147119822,-0.0911140165195698,0.00701914040415723,"porites"
"ManagementNoMtake",0.0229537919304035,0.0925103694698239,-0.128292492183867,-0.0941020199809517,-0.0541713335341052,0.0993149539873992,0.141407061180905,0.176597809679262,"porites"
"ManagementRestricted",0.120251817296062,0.071355552962836,0.00350042442676903,0.0282606548555943,0.0598632130463085,0.17989605694974,0.210653548240585,0.237005943966297,"porites"
"HabitatCrest",-0.449059313595536,0.11231820419895,-0.635056738294459,-0.593432424730983,-0.542441648111903,-0.355123818346546,-0.305448717393438,-0.264689935449567,"porites"
"HabitatFlat",-0.176989836319899,0.0700784267798443,-0.291887592353219,-0.265803270911695,-0.236471144263321,-0.118130650618064,-0.0881066062179314,-0.0631629775874927,"porites"
"Depth_m",0.112634129753706,0.0661123765191217,0.00274375830422887,0.0278156145897675,0.0570974286101132,0.168249300960258,0.197494437808723,0.220592681310091,"porites"
"npp_mean",-0.367485505135909,0.119514163574077,-0.566518403737412,-0.520733435598608,-0.468336453022066,-0.267487430588481,-0.2137230763443,-0.172483378110724,"porites"
"wave_mean",-0.16791329550854,0.0865505274730497,-0.311124426696209,-0.27855561433939,-0.240461139615217,-0.095658814372176,-0.0574717858970194,-0.0261552527811479,"porites"
"maxTCdays.mean",-0.470529668204779,0.135676227472252,-0.700423484816804,-0.647225490957946,-0.582919441715307,-0.356781037968279,-0.298190380096576,-0.252655771784294,"porites"
"reef_area_100km",0.309160671691323,0.0973095020075953,0.149453279022633,0.185009653447264,0.227467962859734,0.391121499938759,0.434717775104949,0.46820850570133,"porites"
"Latitude",0.769055903905356,0.210328095608202,0.424263885678398,0.502086634717029,0.59492818619388,0.942351663374738,1.03752043945365,1.11343123036653,"porites"
"MethodLIT",-0.0410249855709941,0.180312688921159,-0.338615191733023,-0.274882478505495,-0.192469920957466,0.111199046651151,0.189473927659088,0.254701060784019,"porites"
"MethodPhoto",-0.331387400099622,0.144139963972472,-0.57145614309599,-0.516084698748494,-0.451470576779603,-0.211369301338894,-0.148481703446277,-0.0953373207775861,"porites"
"n_points",0.0946031675083903,0.131935222151883,-0.117850594323193,-0.0727679620021953,-0.0160511214988922,0.203774558448321,0.263334500335407,0.312432449295747,"porites"
