"var","Estimate","Est.Error","Q5","Q10","Q20","Q80","Q90","Q95","lh"
"Intercept",-2.33128400214425,0.232622489640813,-2.70553809721473,-2.62097060597128,-2.52034358226585,-2.14250617906174,-2.03734389945044,-1.94407784857485,"stresstolerant-5000"
"past.maxDHW",0.029071723980596,0.073113765858387,-0.0907592112762463,-0.0647577850254983,-0.0323284591846619,0.0902928513042658,0.122876435200453,0.149120706916074,"stresstolerant-5000"
"years.sinceDHW",0.424092115727046,0.06992835536527,0.309637418723188,0.334981419414403,0.364601208006605,0.483315929144759,0.513789796415645,0.541317429910258,"stresstolerant-5000"
"Grav_NearPop.max",-0.102165060607407,0.0583281887145057,-0.197745643369439,-0.176704976469293,-0.151237009392291,-0.0530242927105226,-0.0266066878430834,-0.00611779453126923,"stresstolerant-5000"
"Grav_Markets.max",-0.0223637799599726,0.0761179919638634,-0.146937096542255,-0.119134384242046,-0.0867822254571323,0.0414370816181094,0.0758064389463533,0.103892781050995,"stresstolerant-5000"
"perc_crop2012",-0.0246377780089515,0.0657235030549712,-0.133199016291441,-0.108980950888931,-0.0807256997592043,0.030319620844282,0.0593824336344917,0.0828209733908085,"stresstolerant-5000"
"perc_crop2002.2012",0.00511287517771532,0.0605918264168028,-0.094112831180365,-0.0731347693237095,-0.0459929028396494,0.0568085692384168,0.0824635468308179,0.103910592576211,"stresstolerant-5000"
"hdi2015",-0.147470649906045,0.257514720595351,-0.564357842300208,-0.47008378561219,-0.359231287291791,0.0603666601608985,0.178835519764122,0.272888140422735,"stresstolerant-5000"
"ManagementNoMtake",0.13375960608079,0.0699205677155231,0.0182290801568961,0.0436750191828007,0.0756728390574295,0.19255042307845,0.222583213569102,0.248940497216704,"stresstolerant-5000"
"ManagementRestricted",0.167889643139975,0.0568051428476869,0.0740261011894743,0.0947172439874619,0.120821653602617,0.215476108653785,0.240330763203995,0.260982122879209,"stresstolerant-5000"
"HabitatCrest",-0.106161354981308,0.0879718381120642,-0.25100261541425,-0.219718739372583,-0.179271777250715,-0.0318420454927062,0.00682498580785326,0.0369269879819897,"stresstolerant-5000"
"HabitatFlat",-0.161553088885243,0.0541031716935124,-0.250853444999727,-0.230639495216733,-0.206542610976287,-0.115773226104488,-0.0916972956314462,-0.071877541343045,"stresstolerant-5000"
"Depth_m",0.29856764177281,0.0492919561520427,0.217762679544103,0.235365772588078,0.256988630106821,0.340033771222629,0.361469323812326,0.379232496165782,"stresstolerant-5000"
"npp_mean",-0.229431897311273,0.100100186660633,-0.393129634813531,-0.35812999715911,-0.313459641371641,-0.1447094135993,-0.101777545399218,-0.0651880008194581,"stresstolerant-5000"
"wave_mean",-0.150491378057807,0.0630039019894338,-0.253927845897329,-0.2309753375739,-0.20367005606802,-0.0972029923536805,-0.068941259936753,-0.0458457495911395,"stresstolerant-5000"
"maxTCdays.mean",-0.325936765295567,0.116898464542735,-0.519359424452159,-0.476445984521274,-0.425119781406501,-0.22734449367229,-0.176597783145727,-0.135457855703192,"stresstolerant-5000"
"reef_area_100km",-0.105414636851923,0.0762246960281198,-0.230745730921894,-0.203600514944223,-0.170528541566896,-0.04111274611812,-0.00727212863003866,0.0200176797580434,"stresstolerant-5000"
"Latitude",0.652972081104543,0.17522338584196,0.364173310537882,0.427635123273467,0.505907578727064,0.801742515992263,0.878151969766154,0.941742656349545,"stresstolerant-5000"
"MethodLIT",-0.253779236943221,0.138635399351102,-0.483177857804092,-0.429697244144044,-0.369656078569808,-0.137512031666909,-0.0756134512292952,-0.0239778907008498,"stresstolerant-5000"
"MethodPhoto",0.0224473581785536,0.1132958500616,-0.162867730289615,-0.122764771306608,-0.0724171423808093,0.118462052049484,0.169915033191253,0.21059248460835,"stresstolerant-5000"
"n_points",-0.257822485735278,0.0980859838032221,-0.420932057771462,-0.384431616047266,-0.339965334786898,-0.174802757184321,-0.13284151423234,-0.0971678615946321,"stresstolerant-5000"
