"var","Estimate","Est.Error","Q5","Q10","Q20","Q80","Q90","Q95","lh"
"Intercept",-1.15226112032759,0.224755444666131,-1.52039613049696,-1.43288425186715,-1.33574828593174,-0.970985695288621,-0.867621403486575,-0.778025989654242,"sumcover"
"past.maxDHW",0.0172653260258773,0.0756796281562153,-0.106722801204546,-0.0782285192219506,-0.0467879490863322,0.0814273734848068,0.114572178368878,0.141203947453113,"sumcover"
"years.sinceDHW",0.36944971632827,0.0699967624066448,0.254195883851078,0.279381373079547,0.309850311669462,0.428750525983277,0.458851857751109,0.485293272839308,"sumcover"
"Grav_NearPop.max",-0.113695329108306,0.0608747685720099,-0.213526613748353,-0.191966938358937,-0.164301517648164,-0.0624945245716833,-0.0365348971815957,-0.0125954431438956,"sumcover"
"Grav_Markets.max",0.0549936989923571,0.0778550398374072,-0.071856789315386,-0.0453566730678161,-0.0102689909449481,0.120626310764478,0.154900895039434,0.183684699590719,"sumcover"
"perc_crop2012",0.0707320021294519,0.0679932553745691,-0.0416641305018589,-0.0168694815343946,0.0140382387507595,0.128129477545389,0.158422456356316,0.18238119371648,"sumcover"
"perc_crop2002.2012",-0.0499387148049164,0.0613308729485212,-0.150150715691571,-0.127998006290987,-0.101750252458763,0.00154319907547358,0.0295190611441076,0.0522506611479042,"sumcover"
"hdi2015",0.0265179926270921,0.249377933992134,-0.386178918975107,-0.28901816155721,-0.177980931546248,0.235169119225672,0.346000783469918,0.434903627362732,"sumcover"
"ManagementNoMtake",0.212237337670309,0.0697638235510422,0.0976879774446862,0.122986738953042,0.1533131663362,0.271050149360685,0.301583679577502,0.327961477839899,"sumcover"
"ManagementRestricted",0.151369937247354,0.056569992869705,0.0589478126186755,0.0786694239030638,0.103409226036095,0.199678239726381,0.223174273531512,0.242850178690921,"sumcover"
"HabitatCrest",0.11613742683076,0.0837370406448469,-0.0208285851127391,0.0089987301503114,0.0450222365354154,0.186323746802401,0.223336035728383,0.254532504966838,"sumcover"
"HabitatFlat",-0.175438926143326,0.0524639415872676,-0.261561600146513,-0.242445782782589,-0.219511836277052,-0.131503393393189,-0.108242403591851,-0.0891958615677996,"sumcover"
"Depth_m",0.049586719655201,0.0463537113064273,-0.0265696914900936,-0.0100533270974283,0.010422438702025,0.0889441985737603,0.10878399815897,0.125780202287192,"sumcover"
"npp_mean",-0.303429808860442,0.102472857897001,-0.472420645903554,-0.435215560978971,-0.389980468606474,-0.216468918879569,-0.171701561198295,-0.135696026905036,"sumcover"
"wave_mean",-0.0809921146790954,0.0669425179457091,-0.190511082918369,-0.16614373465098,-0.13659064695883,-0.024198513369615,0.00470324661202722,0.0296912427307305,"sumcover"
"maxTCdays.mean",-0.44604166598539,0.122072732326311,-0.648008778975122,-0.601231172779064,-0.548442728350146,-0.34499296140608,-0.28824655673978,-0.246105586931992,"sumcover"
"reef_area_100km",-0.121084027433057,0.0786432590003978,-0.249991080376561,-0.221257098514629,-0.18773677286976,-0.055402604420355,-0.0203648229438067,0.00853852642428592,"sumcover"
"Latitude",0.354261109055736,0.177284103582282,0.0610674889721856,0.125620590638933,0.203294180351697,0.503389314915477,0.582607656465535,0.646284647267907,"sumcover"
"MethodLIT",-0.355510338028937,0.137953181361985,-0.584927692153479,-0.534444030684659,-0.470738753462978,-0.239140749914801,-0.179756018220207,-0.130266323188926,"sumcover"
"MethodPhoto",-0.127707521621408,0.11325322754262,-0.313209370580387,-0.273495561582343,-0.222981078157663,-0.0319866798122683,0.0174768700155489,0.0591101327087121,"sumcover"
"n_points",-0.112837832241419,0.100666830892173,-0.2778468113446,-0.242042502793437,-0.198223814123865,-0.0286529652986657,0.0168777687427274,0.0553860964728975,"sumcover"
