"var","Estimate","Est.Error","Q5","Q10","Q20","Q80","Q90","Q95","lh"
"Intercept",-3.26594164609647,0.22312983826512,-3.63352513787106,-3.55015969774578,-3.44594514134214,-3.08645784964992,-2.9883994674128,-2.90407088644733,"weedy"
"past.maxDHW",0.0899687199298593,0.0787431707576214,-0.0387046785846331,-0.0114282049036162,0.0238440310180439,0.155212335459022,0.19136579870825,0.22078542451618,"weedy"
"years.sinceDHW",0.332759594075719,0.0744791457409783,0.210480256144723,0.237103399373262,0.270299605503824,0.395769642742375,0.427954709618297,0.455614948094581,"weedy"
"Grav_NearPop.max",0.0379982721276736,0.0625179743463627,-0.0633193979949078,-0.041753924031999,-0.0144822086646369,0.090278701137315,0.118049827154392,0.139946027251986,"weedy"
"Grav_Markets.max",0.275960869985761,0.0807895786032745,0.142887696589173,0.171953592301589,0.208197988490636,0.343675159403298,0.379776086879076,0.409212531821325,"weedy"
"perc_crop2012",0.0390803777604128,0.0713880881859604,-0.0788841657175097,-0.0515144002708561,-0.0203729993797123,0.098238801540043,0.13059798779229,0.157176628571748,"weedy"
"perc_crop2002.2012",-0.0190332593044376,0.0648862267705694,-0.125437926595985,-0.101999626171348,-0.0731009853158782,0.0352879793780072,0.0644728826382911,0.088031227694161,"weedy"
"hdi2015",-0.0384851827298001,0.241846275463624,-0.434050705909651,-0.340566713815086,-0.238119012821071,0.160348888183122,0.267026282922091,0.355015391878424,"weedy"
"ManagementNoMtake",0.153538701885099,0.075983451533632,0.0283150819561513,0.0560537930051595,0.0898356501401787,0.216961576731041,0.251151235224661,0.278409855829448,"weedy"
"ManagementRestricted",0.16034756081434,0.0623612085917648,0.0577132887215264,0.0809944015911889,0.108424025443083,0.21231182583791,0.239737385279294,0.26281624975922,"weedy"
"HabitatCrest",0.0924978466669111,0.0986804338397219,-0.0710479395939004,-0.0352289257781826,0.00914656559081105,0.17587960996069,0.218676681464447,0.254034313705668,"weedy"
"HabitatFlat",-0.167516851046714,0.0611740552126627,-0.267861294725896,-0.246305358520391,-0.21963607888377,-0.115770211212419,-0.0893528434810452,-0.0678728527378974,"weedy"
"Depth_m",0.163086974981688,0.0541569577021514,0.0740874390399028,0.0932836221720735,0.117023831576352,0.208397299599309,0.232338317054121,0.252462989739657,"weedy"
"npp_mean",-0.541537352261878,0.108690160216872,-0.717611444071917,-0.680809759341142,-0.632887443201911,-0.449864309391172,-0.402526434385993,-0.362765951541631,"weedy"
"wave_mean",-0.0569631406331123,0.0698939773461963,-0.172209385690002,-0.146789245657549,-0.115814009185841,0.00155730374338388,0.0318943264459259,0.0581677374042554,"weedy"
"maxTCdays.mean",-0.429976095224968,0.123947292333148,-0.632144129424548,-0.589898063125768,-0.533058339541145,-0.326822492683252,-0.271537513270792,-0.22475921327796,"weedy"
"reef_area_100km",0.00310162074481264,0.0826707277102196,-0.132688578876962,-0.103155767864196,-0.0669435957415158,0.072407457672795,0.10916944978755,0.137879057984993,"weedy"
"Latitude",0.603703033652264,0.18374912331938,0.304711831019366,0.371471962317282,0.44918394244624,0.755229632834049,0.837558991933775,0.905357132127508,"weedy"
"MethodLIT",-0.181618771148581,0.151654119585374,-0.430735406844172,-0.376928474083784,-0.308376552869336,-0.0544530578167163,0.0134354061244223,0.0689853051804134,"weedy"
"MethodPhoto",-0.341835357459006,0.127744984954108,-0.550662789882642,-0.507458232109712,-0.450463962048536,-0.235197832717245,-0.178768207711381,-0.13044774542963,"weedy"
"n_points",0.172492537096069,0.115898556583011,-0.01753513790316,0.0227288113803028,0.0745800027764969,0.270424513936706,0.323060930064848,0.362801322858496,"weedy"
