"var","Estimate","Est.Error","Q5","Q10","Q20","Q80","Q90","Q95","lh","mpa"
"Intercept",-2.12141183550508,0.211463090962011,-2.47366664207542,-2.38893630558404,-2.29421016793879,-1.94851693180547,-1.8592109289631,-1.78308224555239,"competitive","mpa"
"past.maxDHW",5.03599286902094e-05,0.13135215861877,-0.216358149030391,-0.166938130445536,-0.111196932851673,0.111018284696437,0.170072263007977,0.216479733183934,"competitive","mpa"
"years.sinceDHW",0.269677268559087,0.12172039391464,0.0733350809246627,0.115089721742639,0.167324699101906,0.371938551148108,0.426521262813944,0.471757775418585,"competitive","mpa"
"Grav_NearPop.max",-0.200292398840671,0.116731803050403,-0.393969116767014,-0.350346198613484,-0.297856718853472,-0.102376876813712,-0.0498945766655797,-0.00977316718737062,"competitive","mpa"
"Grav_Markets.max",-0.0501549474141235,0.137865660360462,-0.276038405678454,-0.225914979195488,-0.166163079058859,0.0646120320745667,0.126289166345316,0.176593414287478,"competitive","mpa"
"perc_crop2012",-0.183318349037136,0.119357765758003,-0.380700291539016,-0.336040421300272,-0.283542068219995,-0.0824828622113393,-0.0299667889708729,0.0117595153323568,"competitive","mpa"
"perc_crop2002.2012",-0.305132135739971,0.121080329790436,-0.504364296715056,-0.460185338191389,-0.406041868412496,-0.201870426546802,-0.150141701892702,-0.109199332867616,"competitive","mpa"
"hdi2015",0.3318626216232,0.287561661697582,-0.139542584686,-0.0282560943821457,0.0970771679669703,0.565490126199123,0.693708474288748,0.801040105882343,"competitive","mpa"
"ManagementRestricted",-0.0245235674570661,0.0887498314634725,-0.170842340692049,-0.138033203300764,-0.0990702706394906,0.0504676101627551,0.0880671655218581,0.120506860428361,"competitive","mpa"
"HabitatCrest",-0.0697841059153155,0.137173864819592,-0.294078695846449,-0.246262508302709,-0.18471033269691,0.0443807204897651,0.106653363581442,0.156966727191616,"competitive","mpa"
"HabitatFlat",-0.471347460927278,0.0944233649343073,-0.625930716037648,-0.592314552876282,-0.55009053657386,-0.391797464534877,-0.350150491531466,-0.317901616455237,"competitive","mpa"
"Depth_m",-0.494139400222956,0.081801545531982,-0.628502605786823,-0.598799028142241,-0.563090591632448,-0.425232462225611,-0.388799345603675,-0.357478191463377,"competitive","mpa"
"npp_mean",-0.363624806783935,0.168681851614492,-0.644118092120945,-0.579454936688826,-0.502173389481353,-0.222560294976031,-0.14955641157314,-0.0883667301857985,"competitive","mpa"
"wave_mean",-0.00244844062480858,0.101252713212639,-0.169308897085552,-0.13065310099615,-0.0885585074936764,0.082417529868634,0.126238043670065,0.161435595357099,"competitive","mpa"
"maxTCdays.mean",-0.0833168216466487,0.174752960205517,-0.375926471983072,-0.30776066154545,-0.226122815122709,0.0643723544223944,0.136467685019964,0.195388682111958,"competitive","mpa"
"reef_area_100km",0.0914796080023649,0.120673902916683,-0.104747908396445,-0.0618480043264185,-0.00891465587199594,0.190838743694972,0.24589462640316,0.291226112819319,"competitive","mpa"
"Latitude",-0.461487109924779,0.216232110757031,-0.817650703774537,-0.736165713980959,-0.641138540761104,-0.280003419424942,-0.186229111726201,-0.102678889874868,"competitive","mpa"
"MethodLIT",-0.559859003733404,0.193811487943109,-0.87525154154267,-0.807382784567034,-0.723956835428298,-0.395796348426171,-0.310437486544684,-0.241738128454205,"competitive","mpa"
"MethodPhoto",-0.49837107109618,0.190229918613647,-0.811779367486956,-0.741567818232494,-0.658433200710113,-0.336934596671526,-0.256226751206097,-0.189311709497864,"competitive","mpa"
"n_points",0.5136704525728,0.150016406941039,0.265518952316229,0.319712106923814,0.386716199768726,0.641112047530883,0.706823191988778,0.759472893272455,"competitive","mpa"
