"var","Estimate","Est.Error","Q5","Q10","Q20","Q80","Q90","Q95","lh","mpa"
"Intercept",-2.3884815380226,0.269079350215323,-2.84374438434372,-2.73180240683066,-2.60171137672251,-2.16909614207439,-2.05938473861843,-1.96514452120746,"competitive","open"
"past.maxDHW",-0.194293061927244,0.149226179639292,-0.437426346080914,-0.384969757811767,-0.321732730059381,-0.0677265673113219,-0.000832425508686274,0.0488395232770626,"competitive","open"
"years.sinceDHW",-0.0281317726534706,0.10799636734577,-0.205583913661449,-0.167148450896558,-0.119389236423182,0.0624380070178597,0.109496974735677,0.148685666067854,"competitive","open"
"Grav_NearPop.max",0.0687119721957699,0.0868624735573691,-0.0743900143758204,-0.0439029239980477,-0.00565875429215513,0.141849904145098,0.180273810630671,0.212373005341445,"competitive","open"
"Grav_Markets.max",-0.1719479781268,0.123323592518106,-0.374496088324268,-0.330787840716663,-0.275825163208946,-0.0693371246557752,-0.0134593604003849,0.0333235702897236,"competitive","open"
"perc_crop2012",0.07707914802465,0.117130177213751,-0.115322848571553,-0.0708773395874165,-0.0217179299709001,0.175273506968532,0.227771809225908,0.267277978779283,"competitive","open"
"perc_crop2002.2012",0.108130888982972,0.103998741030527,-0.0626089270568908,-0.0261977177675632,0.0201476723180646,0.195476913821428,0.240456178662852,0.278275755934512,"competitive","open"
"hdi2015",0.0337220437932509,0.305957715906251,-0.472807539562247,-0.352959414963082,-0.217667310838226,0.287049276793953,0.423148000411186,0.530630777480365,"competitive","open"
"HabitatCrest",0.345051587994527,0.131802317259014,0.125658311325406,0.175187618571032,0.23605910056434,0.456848543848582,0.514390267826505,0.561196512368494,"competitive","open"
"HabitatFlat",-0.0850409694918463,0.0888221181443492,-0.232170885093726,-0.199509609248597,-0.159097308818573,-0.0101197769348331,0.0282446335780041,0.0610849277795184,"competitive","open"
"Depth_m",-0.318644009472066,0.0771149433077486,-0.445707557404582,-0.416751910706324,-0.382647427395007,-0.254778558751537,-0.218435154872244,-0.190104095149223,"competitive","open"
"npp_mean",-0.232633637908951,0.152450357817114,-0.484734121362335,-0.427125929862332,-0.36044664452687,-0.104757674599706,-0.0375786368418928,0.0176337613659695,"competitive","open"
"wave_mean",0.395136904272966,0.111591317148411,0.210090597055197,0.252714464292766,0.301099779995417,0.488251590537924,0.53791777774244,0.577133049493737,"competitive","open"
"maxTCdays.mean",-0.149306035132343,0.183909163902225,-0.455235736883325,-0.383758437942998,-0.302845509867918,0.00550398729034893,0.0879467609168263,0.153895843976003,"competitive","open"
"reef_area_100km",-0.0025181822815407,0.164224654938736,-0.273748834681179,-0.21341845692528,-0.140609607442788,0.134849409388567,0.207389174415918,0.267638336876363,"competitive","open"
"Latitude",0.562730412595015,0.331174578700721,0.0437066316535519,0.151470501074412,0.285500571929294,0.835133337786135,0.992876065146995,1.12840193175198,"competitive","open"
"MethodLIT",-0.670541786738779,0.309076601831559,-1.18063697695874,-1.06696553559451,-0.926774917016106,-0.411111190688013,-0.275280489457917,-0.165768114957815,"competitive","open"
"MethodPhoto",-0.670332082649033,0.198012460032133,-0.992462759588636,-0.925195202367175,-0.837996973725533,-0.503942459025373,-0.417526160918711,-0.342787256548312,"competitive","open"
"n_points",0.565836353123016,0.197209692256736,0.242113512506032,0.311425801583972,0.3998015590802,0.730862226862849,0.816049772093952,0.890385767492533,"competitive","open"
