"var","Estimate","Est.Error","Q5","Q10","Q20","Q80","Q90","Q95","lh"
"Intercept",-3.68386475837782,0.375644300665419,-4.30302651648036,-4.17684895582073,-3.98166388475693,-3.37712472563023,-3.21862350733427,-3.08182926938191,"generalist"
"past.maxDHW",-0.174151479315231,0.112649236954009,-0.356513009459106,-0.319780691285992,-0.269839846576706,-0.0799592799189095,-0.0264837542143028,0.0147120326999312,"generalist"
"years.sinceDHW",0.169811340919296,0.133800253857457,-0.0545623422202623,-0.00137450895479328,0.0574247377073708,0.282078084734782,0.342789891881371,0.388977656462089,"generalist"
"Grav_NearPop.max",-0.0771324166546347,0.0837722339437015,-0.21505720410966,-0.185262365992027,-0.147472030972418,-0.00465435327351306,0.0314963656835485,0.0599366907683273,"generalist"
"Grav_Markets.max",0.0219744170544281,0.124157254254196,-0.181979742509992,-0.136724029536079,-0.0829548626892049,0.126412182017722,0.178369050490661,0.224288060563785,"generalist"
"perc_crop2012",0.307459780805351,0.0985306582223566,0.145706257762399,0.183315058248442,0.224389726950405,0.393221344250791,0.431376509951359,0.465562913777253,"generalist"
"perc_crop2002.2012",0.0230872435510657,0.0975968268390132,-0.136168046624308,-0.101381567560395,-0.0590023977231399,0.105562655459137,0.148032933117201,0.182184961473079,"generalist"
"hdi2015",-0.00201998671576901,0.414308701681447,-0.678687552185124,-0.51404891605304,-0.328698180852902,0.32783203241155,0.51442166545653,0.671804382853598,"generalist"
"ManagementNoMtake",0.254335851138203,0.126563984097118,0.0421749097671713,0.092812427325072,0.150236455431969,0.359886361343694,0.412498595140367,0.460995053110929,"generalist"
"ManagementRestricted",0.0831978296604464,0.0882651467811866,-0.0605614426620398,-0.0280887339952428,0.00933721940767898,0.15761106325664,0.193836399584329,0.225607812843613,"generalist"
"HabitatCrest",-0.0315950765513012,0.138600887179207,-0.263564224601234,-0.208719782846625,-0.148524215479044,0.0856418958901699,0.147114278463617,0.195247106285289,"generalist"
"HabitatFlat",-0.0880065443504379,0.082685380879843,-0.227556461709239,-0.195519278797882,-0.159035976152131,-0.0193527704653614,0.019277302371421,0.0453915793389847,"generalist"
"Depth_m",0.640142576648563,0.0777535860917935,0.514018293469561,0.53945784228589,0.574884769402139,0.706758595302785,0.741318519734217,0.770552653630803,"generalist"
"npp_mean",0.10052075682463,0.178505266571197,-0.185885457226694,-0.127022369424302,-0.0526837537830651,0.248566666158907,0.3260399629137,0.395254650240729,"generalist"
"wave_mean",-0.104509257109655,0.0890308466619042,-0.247565563723785,-0.217763140370331,-0.180188864081613,-0.0307863924205925,0.0142814394543936,0.0432581409066669,"generalist"
"maxTCdays.mean",-0.181710242928698,0.174858064581802,-0.467828302301322,-0.40844530184851,-0.326216317721175,-0.0347163591189558,0.0416788652242562,0.102174716752092,"generalist"
"reef_area_100km",-0.340059354519993,0.118781716914688,-0.532591028013171,-0.49190031592943,-0.440200213052346,-0.239787778592266,-0.18699176800184,-0.146080961718702,"generalist"
"Latitude",-0.146054562278725,0.25627456725651,-0.566054990151881,-0.473842209311459,-0.362301130124025,0.0746689492277528,0.178427450564392,0.274905470533734,"generalist"
"n_points",-0.581751853601052,0.194494577378522,-0.904804212001964,-0.831361263475243,-0.744948667968515,-0.422324268474308,-0.335551056860576,-0.264352418731959,"generalist"
