"var","Estimate","Est.Error","Q5","Q10","Q20","Q80","Q90","Q95","lh"
"Intercept",-2.46570945134192,0.354026940557213,-3.05374305990277,-2.90446586188874,-2.75033838595123,-2.17771225537857,-2.01341444927829,-1.87139421279444,"stresstolerant"
"past.maxDHW",-0.08877772863776,0.0995099181011119,-0.253158636681543,-0.217906036983889,-0.170688176380726,-0.00682122886716132,0.0384791502155607,0.0794751142217279,"stresstolerant"
"years.sinceDHW",0.266346396075127,0.117464640995493,0.0708058308075914,0.115270184987318,0.169470525419797,0.363519339542617,0.416008852823135,0.45839959853926,"stresstolerant"
"Grav_NearPop.max",-0.129632039620489,0.0772178451289997,-0.255735340421281,-0.22835907272722,-0.193266547895909,-0.065409708978125,-0.031817470227457,-0.00151028016502418,"stresstolerant"
"Grav_Markets.max",-0.00568502700135548,0.108692605357346,-0.187750610774328,-0.145042887804599,-0.095607843343214,0.0846868004299738,0.133625080972438,0.170784165145495,"stresstolerant"
"perc_crop2012",0.0852282833595913,0.082500201099181,-0.0498365976565332,-0.0185890627603191,0.0158086092041227,0.1541730189347,0.192995894693118,0.222352712775964,"stresstolerant"
"perc_crop2002.2012",0.0183487893552053,0.0877743762972145,-0.126593360998422,-0.0927854112105401,-0.0540255520735066,0.0921220667858842,0.133444147498026,0.162491557440024,"stresstolerant"
"hdi2015",0.282162177868412,0.341557098502288,-0.267254959460548,-0.148065139011204,0.00812542286391688,0.555801975429691,0.71473779862155,0.868661107407026,"stresstolerant"
"ManagementNoMtake",0.0892800966369678,0.110871353178245,-0.0978093073917847,-0.0533961842105986,-0.00229429742172736,0.183195279327451,0.230425450804265,0.270532398821584,"stresstolerant"
"ManagementRestricted",0.140890237434472,0.0763409695149886,0.0154294361163661,0.0440831749975051,0.0752678568711723,0.204230489509567,0.237884459097486,0.265371787736466,"stresstolerant"
"HabitatCrest",-0.332640045547189,0.121070055665805,-0.531602504790526,-0.488692296291177,-0.4338890866825,-0.232394875464407,-0.178205275930809,-0.136226916083453,"stresstolerant"
"HabitatFlat",-0.171208941682783,0.0714044302550007,-0.290880388878471,-0.263404159285033,-0.231606875971248,-0.112285291075602,-0.0802905718596347,-0.0534587513227227,"stresstolerant"
"Depth_m",0.367513941947648,0.0658860546996342,0.258286201223464,0.283218016266042,0.313590341091236,0.422120646359739,0.451599614347612,0.474409330720638,"stresstolerant"
"npp_mean",-0.0995495291596497,0.16183282234361,-0.372504438661189,-0.310422350925841,-0.234497583275527,0.0338878236311282,0.105524178431696,0.165487718584534,"stresstolerant"
"wave_mean",-0.175528019934847,0.0798233888400549,-0.306205884144525,-0.276759717073992,-0.242844550801066,-0.108103732634376,-0.0735025923795066,-0.0423230286159105,"stresstolerant"
"maxTCdays.mean",-0.768590830653687,0.156573500266595,-1.03128692166817,-0.96914257470653,-0.896420144728281,-0.635486378430862,-0.570472915843691,-0.518816961295174,"stresstolerant"
"reef_area_100km",-0.128397242962607,0.109073408067345,-0.306038934879667,-0.267337652203764,-0.221641232387079,-0.0390585148833401,0.00914270872947741,0.0518114386755113,"stresstolerant"
"Latitude",0.497560597394641,0.225275615525141,0.128493156671399,0.208322690885394,0.307821117617347,0.684875536859632,0.79427060291024,0.87735432086281,"stresstolerant"
"n_points",-0.173681272578392,0.172054890912829,-0.459059697197635,-0.392257034296006,-0.321511443539536,-0.0249403772927631,0.0464858668686287,0.103937850115794,"stresstolerant"
