"var","Estimate","Est.Error","Q5","Q10","Q20","Q80","Q90","Q95","lh"
"Intercept",-3.18111813998871,0.518623277407225,-4.04619394697463,-3.822823884795,-3.58145078328184,-2.77266266742907,-2.53152572200993,-2.32294954195477,"weedy"
"past.maxDHW",0.191140516400758,0.0994924367723318,0.0277255989298227,0.0612887335825217,0.106699376047746,0.274880973399015,0.319739170799436,0.350180100384643,"weedy"
"years.sinceDHW",0.286327135112885,0.119270034279017,0.0895551853466452,0.135312480669963,0.185953663392093,0.386487353129365,0.443616978729017,0.481327217024893,"weedy"
"Grav_NearPop.max",-0.00140617191294797,0.0755794689058239,-0.125525978501044,-0.0990436218012553,-0.0659485239399149,0.0629533468771188,0.0941508991939246,0.12228113880896,"weedy"
"Grav_Markets.max",0.152090820353481,0.105839544964316,-0.0193787918693352,0.0157441042394792,0.0612747749272469,0.241617797457682,0.290339084743471,0.324677390892789,"weedy"
"perc_crop2012",-0.0110976238543651,0.0852962735730793,-0.150199296347497,-0.118932147579699,-0.0841500280524552,0.0618470875464877,0.0966341674371714,0.127097609712386,"weedy"
"perc_crop2002.2012",0.0247899262938861,0.0863050892351194,-0.118854820915425,-0.0858547289338491,-0.0471684047199302,0.0996258242694091,0.134804678429579,0.166504737139507,"weedy"
"hdi2015",0.0892960180394292,0.485672550630589,-0.694715433897282,-0.520711528709482,-0.29351903295089,0.475899771083851,0.676342714661062,0.856428865985673,"weedy"
"ManagementNoMtake",-0.00880798051891127,0.115163348874188,-0.193948300471376,-0.155681931448791,-0.10671825997271,0.087010819432296,0.135535884821332,0.178273668879812,"weedy"
"ManagementRestricted",0.149467485308434,0.0803637835266033,0.0141544942142259,0.0472051939770937,0.0820063256499372,0.216680247827388,0.252057511116011,0.285145714794047,"weedy"
"HabitatCrest",0.00512993119355742,0.125123703226316,-0.204505521856575,-0.154497010337393,-0.0967174820983518,0.108404158653876,0.161697443851898,0.206204151844395,"weedy"
"HabitatFlat",-0.356927422038914,0.0808856101396096,-0.490196892639752,-0.461910028530476,-0.425708248132147,-0.287152811919862,-0.250731879345075,-0.223369686284283,"weedy"
"Depth_m",0.19760380005823,0.073742817991502,0.076851031945169,0.101680308240092,0.135678867260246,0.259200364275634,0.291240014974761,0.320848725935949,"weedy"
"npp_mean",-0.216776188705133,0.175459887778863,-0.500539648576805,-0.441181261865144,-0.363277596094822,-0.0670367692975758,0.00843070630421618,0.0696495528278562,"weedy"
"wave_mean",-0.161782279885164,0.0803561103109059,-0.294531152307179,-0.263208075946622,-0.227389711241302,-0.0960360464395238,-0.059811179325778,-0.0274774243803876,"weedy"
"maxTCdays.mean",-0.769024854571391,0.163005162010564,-1.03416281900347,-0.974656938565898,-0.908173192979591,-0.628478510193874,-0.563108089859749,-0.501907025516833,"weedy"
"reef_area_100km",0.0273834161542033,0.110341914547367,-0.154126644518469,-0.114908828290857,-0.0670000918133242,0.121403709874336,0.166043984601902,0.206947634829755,"weedy"
"Latitude",0.665764986291149,0.245417105984591,0.256388448491287,0.348999459441506,0.454194653670407,0.87546338991268,0.975982934871323,1.06813072627291,"weedy"
"n_points",-0.0457960979700978,0.184126079817332,-0.348534373971125,-0.280478620857314,-0.199891522629232,0.111534894762255,0.186398819828427,0.256901576068736,"weedy"
